,,,,,,,,,,,,,,,
,Variation of Price against Rating of Restaurants - City Wise,,,,,,,Variation of Delivery Time against Rating of Restaurants - City Wise,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Time Interval To Deliver,Rating
,,,,,,,,,,,,,,20 - 30,4.115740741
,,,,,,,,,,,,,,31 - 40,3.763390663
,,,,,,,,,,,,,,41 - 50,3.65599393
,,,,,,,,,,,,,,51 - 60,3.625552486
,,,,,,,,,,,,,,61 - 70,3.637771549
,,,,,,,,,,,,,,71 - 80,3.527977528
,,,,,,,,,,,,,,81 - 90,3.499016393
,,,,,,,,,,,,,,91 - 100,3.210169492
,,,,,,,,,,,,,,101 - 110,2.9
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Correlation Factor ,-0.9378615977
